id,word,sum_log_prob,sum_original_metrics_nae,sum_projected_metrics_nae,sum_stack_count
1.1,If,-1.702155232429504,5.492179759613340,4.599786398846939,3.114105517030423
1.2,you,-2.728438854217529,4.332949968146264,4.475795787420421,6.088454945597434
1.3,were,-3.555824756622314,4.714434169937944,4.300389737461084,7.092498084504673
1.4,to,-0.006326647009701,5.161106249727921,4.976118106186116,10.031277088994779
1.5,journey,-12.611808776855467,3.473628988970214,3.263801319689885,12.149091203482444
1.6,to,-9.016664505004883,4.515329405476998,4.796362847600768,13.234199265124284
1.7,the,-8.629539489746094,3.885894600196907,4.308620956737848,14.121603159920600
1.8,North,-6.913138389587402,4.299664762732920,4.979702714720522,16.816627325715608
1.9,of,-10.693447113037109,3.735681129189375,4.059849731155277,18.692830673955946
1.10,"England ,",-25.377346038818359,8.129433235477922,8.697904754654157,38.274127083277151
1.11,you,-13.465721130371096,4.702085405503407,4.729130396709153,12.102313539355093
1.12,would,-11.002636909484863,3.639386250320243,3.833669731409587,5.081083069413097
1.13,come,-5.296323776245117,3.539707939156598,3.407551349521970,6.351854012272915
1.14,to,-3.946913480758667,4.665957163496646,4.569253261582208,8.409939776160776
1.15,a,-7.151928901672362,3.956247719104568,4.478625173600738,10.703431797521645
1.16,valley,-12.771622657775881,3.257634129680631,3.612831135915104,12.816342770212884
1.17,that,-11.833496093750000,3.508630899897814,3.721528164767173,13.149605537396868
1.18,is,-12.264696121215820,2.884140966599942,3.361773032766052,13.917165062893556
1.19,surrounded,-21.109965324401852,7.810359526738943,8.069499001978588,11.871017110848605
1.20,by,-9.582391738891602,3.913597621103052,3.987065550137521,16.516154807591871
1.21,moors,-12.020114421844482,6.982663610019141,6.955340190787576,18.805293630368730
1.22,as,-7.001254558563232,3.826816740978978,3.855064292667654,20.978104994466239
1.23,high,-8.172228813171388,4.932368497472117,5.363724161696747,23.181550917288860
1.24,as,-7.913978099822997,3.923412236152952,4.268416423576779,23.698870429084355
1.25,mountains .,-31.021466255187988,12.956630155254871,13.964350328262727,48.366011644995226
1.26,It,-3.463986396789551,5.657852729076698,6.034790594809582,3.260042827459384
1.27,is,-1.861014366149902,5.071393737006682,4.468407874668389,4.133947289657863
1.28,in,-1.184403300285339,3.806192565174850,3.811278377654981,6.128253404375303
1.29,this,-2.391253709793091,4.780355510244958,4.908856818518328,8.305832394206213
1.30,valley,-8.002401351928711,3.439499133296712,3.929336893675766,9.341565924327108
1.31,where,-17.564377307891846,8.141608645181671,8.719567216381151,10.472892427844416
1.32,you,-15.623489379882812,3.486784014816223,4.013949001386625,8.101984650078100
1.33,would,-9.654268264770508,4.250244980600592,4.653009622598889,10.127189260153534
1.34,find,-4.149947166442871,2.687058121704363,2.492152024635781,11.112760279876680
