id,word,sum_log_prob,sum_original_metrics_nae,sum_projected_metrics_nae,sum_stack_count
1.1,If,-1.702155232429504,5.471009731292725,4.499320507049561,3.000000000000000
1.2,you,-2.728438854217529,4.363809108734132,4.481309413909912,6.000000000000000
1.3,were,-3.555824756622314,4.714562416076660,4.275789260864259,7.000000000000000
1.4,to,-0.006326647009701,5.184904098510742,4.985111236572267,10.000000000000000
1.5,journey,-12.611808776855467,3.464513063430786,3.254129409790039,12.000000000000000
1.6,to,-0.693074107170105,3.616675615310669,3.542266130447388,14.000000000000000
1.7,the,-1.193957924842834,4.661091327667236,4.860086917877197,17.000000000000000
1.8,North,-5.652112007141112,4.238971233367920,5.210980415344238,18.000000000000000
1.9,of,-0.132397800683975,4.239838123321533,4.176404953002931,18.000000000000000
1.10,"England ,",-5.112416580319405,8.753764629364014,9.158694267272949,23.000000000000000
1.11,you,-0.596237540245056,3.400096893310547,3.280218362808228,5.000000000000000
1.12,would,-1.301290631294250,3.288104295730591,3.261548042297364,6.000000000000000
1.13,come,-5.715266227722168,4.441668033599854,4.348125457763672,8.000000000000000
1.14,to,-0.533531248569489,4.356702327728272,4.299292564392090,10.000000000000000
1.15,a,-1.846956014633179,3.948873281478882,3.863887071609497,13.000000000000000
1.16,valley,-11.209177017211914,3.076370954513550,3.627261161804199,14.000000000000000
1.17,that,-0.063839726150036,2.496649026870728,2.613910198211670,15.000000000000000
1.18,is,-1.689328312873840,4.327062129974365,4.251936435699463,17.000000000000000
1.19,surrounded,-3.999560701369774,6.842017650604247,6.941962480545044,19.000000000000000
1.20,by,-0.047577876597643,3.128708124160767,3.106940269470215,21.000000000000000
1.21,moors,-13.888320446014404,9.605818748474119,10.816744804382324,24.000000000000000
1.22,as,-5.502578735351562,4.644928932189941,5.042453765869142,25.000000000000000
1.23,high,-4.043985366821288,3.414209365844727,3.546027183532715,26.000000000000000
1.24,as,-0.083498820662498,3.571956872940063,3.581441640853882,28.000000000000000
1.25,mountains .,-8.940771738358308,12.089356660842896,12.738345623016357,36.000000000000000
1.26,It,-3.463986396789551,5.483454227447510,5.923331260681152,3.000000000000000
1.27,is,-1.861014366149902,5.339915752410889,4.722030639648438,4.000000000000000
1.28,in,-1.184403300285339,3.827173233032227,3.811400651931762,6.000000000000000
1.29,this,-2.992005348205566,5.106835365295410,5.361186504364014,9.000000000000000
1.30,valley,-7.672029018402100,3.881913661956787,4.348320960998535,10.000000000000000
1.31,where,-0.000236603976646,6.836270332336426,7.228676080703735,11.000000000000000
1.32,you,-5.466704368591309,3.727860450744629,4.329402923583983,13.000000000000000
1.33,would,-4.377723693847656,4.107401371002196,3.924426317214966,14.000000000000000
1.34,find,-2.545161724090576,4.014122486114502,3.885706901550293,16.000000000000000
1.35,the,-2.321373701095581,3.880780220031737,4.121048450469972,19.000000000000000
1.36,city,-6.256987571716309,4.556241989135742,5.047409057617188,20.000000000000000
1.37,of,-0.278443068265915,3.935444116592407,3.842938184738159,20.000000000000000
1.38,"Bradford ,",-14.803201675415039,7.790901184082031,8.673741817474367,40.000000000000000
1.39,where,-0.837086081239249,7.444281816482544,7.854946136474608,21.000000000000000
1.40,once,-3.113794565200806,4.588074684143066,4.505248069763184,23.000000000000000
1.41,a,-1.445240616798401,3.841988325119019,3.708901405334473,25.000000000000000
1.42,thousand,-7.534266471862793,4.912305355072021,4.820670604705811,26.000000000000000
1.43,spinning,-13.732918739318848,2.979189634323120,3.514367103576660,27.000000000000000
1.44,jennies,-21.978028133511547,13.170421600341795,15.064244508743286,28.000000000000000
1.45,that,-4.481259346008301,2.529437065124512,2.554757356643677,27.000000000000000
1.46,hummed,-11.838405519723892,5.443636417388916,5.276191473007202,30.000000000000000
1.47,and,-0.339795261621475,4.893765449523926,4.781426429748535,30.000000000000000
1.48,clattered,-11.041382774710655,12.502210378646851,12.370705127716064,32.000000000000000
1.49,spun,-10.205696105957033,6.413056135177612,6.542680978775024,25.000000000000000
1.50,wool,-10.489961147308350,6.666129112243652,7.248695135116577,27.000000000000000
1.51,into,-1.224153280258179,3.213588476181030,3.188793897628784,28.000000000000000
1.52,money,-7.697188854217528,4.214277744293213,4.645139217376709,30.000000000000000
1.53,for,-1.681259393692017,3.328788280487061,3.295313835144043,29.000000000000000
1.54,the,-2.228319644927979,3.218706130981445,3.091625928878784,31.000000000000000
1.55,long-bearded,-22.291771131334823,19.481511592864987,21.566497564315799,32.000000000000000
1.56,mill,-7.892527580261230,3.270413875579834,3.856399059295654,33.000000000000000
