id,word,sum_log_prob,sum_original_metrics_nae,sum_projected_metrics_nae
1.1,If,-4.899098396301270,0.000000000000000,0.000000000000000
1.2,you,-2.797132968902588,4.620006561279297,5.736376762390138
1.3,were,-3.419033050537109,2.643169164657593,5.243946552276611
1.4,to,-2.483590602874756,3.829492092132568,6.214027881622314
1.5,journey,-12.049459457397461,4.389853954315186,4.827717781066895
1.6,to,-1.411861538887024,4.686994552612305,5.963379859924316
1.7,the,-1.505097150802612,4.179105281829834,5.088417530059815
1.8,North,-5.436277389526367,3.207254171371460,5.996718883514403
1.9,of,-6.451053142547607,3.900434732437134,4.734145164489746
1.10,"England ,",-4.737503647804261,9.044375896453857,10.144891738891602
1.11,you,-0.984695196151733,4.415977001190186,5.073698520660400
1.12,would,-1.127358555793762,5.192707061767578,5.923822402954102
1.13,come,-6.252150058746338,5.163793563842773,6.889459609985352
1.14,to,-1.562651753425598,5.125408172607422,5.885429859161378
1.15,a,-3.178626060485840,4.107903957366943,5.623709678649902
1.16,valley,-9.405478477478027,5.472252368927002,6.055137157440186
1.17,that,-3.070856809616089,5.369415760040283,5.631363391876222
1.18,is,-1.617156505584717,5.847867965698242,5.968050003051758
1.19,surrounded,-6.371091906446964,8.700870513916017,11.683817386627195
1.20,by,-0.051755391061306,5.529036521911621,6.039041519165039
1.21,moors,-14.131002306938171,10.583678483963011,14.812957286834715
1.22,as,-7.546321392059326,5.441782951354980,5.876234054565430
1.23,high,-5.342354297637940,4.776916027069092,6.696195602416992
1.24,as,-0.041292656213045,4.384474754333496,4.709860324859619
1.25,mountains .,-12.124340862035751,12.621376752853394,16.539276599884033
1.26,It,-3.835548400878906,0.000000000000000,0.000000000000000
1.27,is,-1.736417770385742,3.276454925537109,5.097389221191406
1.28,in,-4.282423973083496,2.322259426116944,3.520250320434570
1.29,this,-2.507376670837402,2.703822135925293,4.861701011657715
1.30,valley,-9.016421318054199,4.020298957824707,6.165206432342528
1.31,where,-2.290583014488220,6.414479970932008,8.781810522079468
1.32,you,-5.163444042205811,4.513381958007812,5.980761528015138
1.33,would,-4.567606449127197,3.908770561218262,5.553503036499023
1.34,find,-3.733742952346802,3.615791082382202,4.519508838653564
1.35,the,-2.048628807067871,4.380126953125000,4.864518642425537
1.36,city,-6.154423236846924,4.603154659271240,5.376995086669922
1.37,of,-2.393668413162231,4.291396617889403,5.120044231414795
